Front,Back,Chapter,Tags
"CPR Administered","Once a member performs rapid chest compressions or mouth-to-mouth ventilation","Aided Cases",key_terms 216_aided_cases
"QMHP","Qualified Mental Health Professional — licensed psychologist, certified social worker, or registered professional nurse eligible to direct a Section 9.58 removal","Aided Cases",key_terms 216_aided_cases
"Mobile Crisis Outreach Teams","Hospital/community-based teams funded by DOHMH that assess, stabilize, and refer patients","Aided Cases",key_terms 216_aided_cases
"ACT Teams","""Hospitals on wheels"" — richly staffed mental health teams licensed by NYS Office of Mental Health; may order involuntary transport","Aided Cases",key_terms 216_aided_cases
"Opioids","Opiate, synthetic or otherwise — includes heroin, morphine, oxycodone, fentanyl, methadone, hydrocodone, codeine","Aided Cases",key_terms 216_aided_cases
"Fentanyl","Fast-acting synthetic opioid, 30-50x more powerful than heroin, 80-100x more powerful than morphine; can be absorbed through the skin","Aided Cases",key_terms 216_aided_cases
"Opioid Antagonist","FDA-approved drug (Naloxone/Narcan) that negates or neutralizes effects of an opioid; limited to meds approved by Dept of Health","Aided Cases",key_terms 216_aided_cases
"Naloxone (NLX)","NOT a controlled substance; possession is legal; does NOT establish probable cause to arrest","Aided Cases",key_terms 216_aided_cases
"Drug Paraphernalia","Items associated with narcotics use/preparation/storage (straws, scales, glassines, etc.); hypodermic needles are NOT classified as drug paraphernalia","Aided Cases",key_terms 216_aided_cases
"Stamps","Image/writing drug dealers use to ID their ""brand""; located on wax folds or glassines","Aided Cases",key_terms 216_aided_cases
"PSNAR","NYS Public Safety Naloxone Administration Reporting — prepared by UMOS who administers NLX; given to Desk Officer","Aided Cases",key_terms 216_aided_cases
"ECMS","Enterprise Case Management System — ECT uploads overdose photos here","Aided Cases",key_terms 216_aided_cases
"911 Good Samaritan Law","Protects from arrest for possessing controlled substance/paraphernalia/alcohol (under 21) when seeking help in good faith for drug/alcohol overdose","Aided Cases",key_terms 216_aided_cases
"School Crossing Guard LOD","No LODI Report; uses Employee's Notice of Injury (WCD 23) instead; SCG prepares in own handwriting if possible","Aided Cases",key_terms 216_aided_cases
"Mnemonic","Meaning","Aided Cases",key_terms 216_aided_cases
"CHILD-ERS","Child, Homeless, Injured, Lost, DOA, EDP, Requires care, Sick — the 8 aided case categories","Aided Cases",key_terms 216_aided_cases
"TED the M.D. from D.C.","Technician (Highway CIS), ESU, Doctor/Paramedic/EMT, Medical examiner, District attorney, Detective Bureau, Crime Scene Unit — persons who may disturb a dead body","Aided Cases",key_terms 216_aided_cases
"I C no P.A.I.N.","Identified and Conscious, no Police service, no dependent Adults/uncared children, no Investigation, no Notifications — Routine Sick at Home criteria (Activity Log only)","Aided Cases",key_terms 216_aided_cases
"3 ""UNs""","UN-identified, UN-conscious, UN-sound mind (EDP) — ride in back of ambulance with aided","Aided Cases",key_terms 216_aided_cases
"Form Name","Form Number","Aided Cases",key_terms 216_aided_cases
"AIDED REPORT","Electronic (FORMS)","Aided Cases",key_terms 216_aided_cases
"IDENTIFICATION TAG","PD317-091","Aided Cases",key_terms 216_aided_cases
"COMPLAINT REPORT","PD313-152","Aided Cases",key_terms 216_aided_cases
"COMPLAINT REPORT WORKSHEET","PD313-152A","Aided Cases",key_terms 216_aided_cases
"MISSING/UNIDENTIFIED PERSONS REPORT","PD336-151","Aided Cases",key_terms 216_aided_cases
"Police Accident Report","MV104AN","Aided Cases",key_terms 216_aided_cases
"DANGEROUS ANIMAL/BITE REPORT","PD311-152","Aided Cases",key_terms 216_aided_cases
"RECEIPT FOR CREDENTIALS","PD616-011","Aided Cases",key_terms 216_aided_cases
"REPORT OF VIOLATION","PD672-151","Aided Cases",key_terms 216_aided_cases
"REQUEST FOR LABORATORY EXAMINATION REPORT","PD521-168","Aided Cases",key_terms 216_aided_cases
"MEDICAL TREATMENT OF PRISONER","PD244-150","Aided Cases",key_terms 216_aided_cases
"Employee's Notice of Injury","WCD 23 (Law Department)","Aided Cases",key_terms 216_aided_cases
"WITNESS STATEMENT — INJURY TO MEMBER OF DEPARTMENT","PD429-065","Aided Cases",key_terms 216_aided_cases
"UNUSUAL OCCURRENCE REPORT","PD370-152","Aided Cases",key_terms 216_aided_cases
"THREAT, RESISTANCE OR INJURY (T.R.I.) INCIDENT REPORT","—","Aided Cases",key_terms 216_aided_cases
"OMH 482 Form","OMH 482","Aided Cases",key_terms 216_aided_cases
"Section 9.58 Identification Card","—","Aided Cases",key_terms 216_aided_cases
"NYS Public Safety Naloxone Administration Reporting (PSNAR)","—","Aided Cases",key_terms 216_aided_cases
"Opioid Antagonist Kit","—","Aided Cases",key_terms 216_aided_cases
"Complaint Report (Overdose)","PD313-152","Aided Cases",key_terms 216_aided_cases
"Item","Value","Aided Cases",key_terms 216_aided_cases
"Second ambulance call","20 minutes after first call if ambulance does not arrive","Aided Cases",key_terms 216_aided_cases
"ME follow-up call","1 hour if ME fails to respond","Aided Cases",key_terms 216_aided_cases
"Morgue identification (homicide)","0900 hours, next day — officer who discovered body reports to morgue","Aided Cases",key_terms 216_aided_cases
"Reports to Auxiliary Police Section","Within 10 days","Aided Cases",key_terms 216_aided_cases
"DOHMH Animal Bite Unit hours","0900-1700, Monday-Friday","Aided Cases",key_terms 216_aided_cases
"After-hours animal bite notification","Poison Control Center","Aided Cases",key_terms 216_aided_cases
"9-8-8 Hotline availability","24 hours/day, 7 days/week in 200+ languages","Aided Cases",key_terms 216_aided_cases
"Rabies wound definition","Open wound that bled within last 24 hours","Aided Cases",key_terms 216_aided_cases
"NLX re-dose window","3-5 minutes — if no response to Naloxone, administer 1 additional dose","Aided Cases",key_terms 216_aided_cases
"Waterproof body covers in P/S car","4 covers required","Aided Cases",key_terms 216_aided_cases
"SCG — D.O. notify Operations","Within 24 hours","Aided Cases",key_terms 216_aided_cases
"SCG — Supervisor's Report of Injury","Within 48 hours (C.O. directs)","Aided Cases",key_terms 216_aided_cases
"3 triggers for detective squad (OD)","DOA, Likely to die, or Naloxone administered","Aided Cases",key_terms 216_aided_cases
"3 requirements to close UF 61 (DOA)","Identified, ME says natural, relatives present and notified","Aided Cases",key_terms 216_aided_cases
"Situation","Notify","Aided Cases",key_terms 216_aided_cases
"Poisoned/infected food or denatured alcohol","Operations Unit (via desk officer)","Aided Cases",key_terms 216_aided_cases
"Homicide, suspicious death, suicide","Operations Unit, detective squad, Crime Scene Unit (via detective)","Aided Cases",key_terms 216_aided_cases
"DOC suspicious death/suicide","Detective squad, CO/duty captain, patrol borough, IAB (get log number), Operations Unit","Aided Cases",key_terms 216_aided_cases
"Scaffold injury/death","Department of Buildings","Aided Cases",key_terms 216_aided_cases
"MTA bus injury/death","NYC Transit","Aided Cases",key_terms 216_aided_cases
"Construction site, Parks property, factory/store injury/death","Operations Unit","Aided Cases",key_terms 216_aided_cases
"Firefighter killed/injured at fire","DO NOT notify family without fire officer permission","Aided Cases",key_terms 216_aided_cases
"DOC inmate death","DO NOT notify family unless Correction supervisor requests","Aided Cases",key_terms 216_aided_cases
"Auxiliary police injury requiring hospital","Operations Unit (promptly)","Aided Cases",key_terms 216_aided_cases
"Carbon monoxide alarm (City-owned building)","Department of Buildings (via Communications)","Aided Cases",key_terms 216_aided_cases
"Section 9.58 removal validity in question","Legal Bureau","Aided Cases",key_terms 216_aided_cases
"Hospital","Borough","Aided Cases",key_terms 216_aided_cases
"Bellevue Hospital Center","Manhattan","Aided Cases",key_terms 216_aided_cases
"Metropolitan Hospital Center","Manhattan","Aided Cases",key_terms 216_aided_cases
"Harlem Hospital Center","Manhattan","Aided Cases",key_terms 216_aided_cases
"Lincoln Hospital","Bronx","Aided Cases",key_terms 216_aided_cases
"Bronx Municipal Hospital Center","Bronx","Aided Cases",key_terms 216_aided_cases
"North Central Bronx Hospital","Bronx","Aided Cases",key_terms 216_aided_cases
"Kings County Hospital Center","Brooklyn","Aided Cases",key_terms 216_aided_cases
"Woodhull Hospital","Brooklyn","Aided Cases",key_terms 216_aided_cases
"Coney Island Hospital","Brooklyn","Aided Cases",key_terms 216_aided_cases
"City Hospital Center at Elmhurst","Queens","Aided Cases",key_terms 216_aided_cases
"Queens Hospital Center","Queens","Aided Cases",key_terms 216_aided_cases
"Letter","Authorized Person","Aided Cases",key_terms 216_aided_cases
"a","Paramedic, E.M.T., or doctor (caution: do not disturb evidence)","Aided Cases",key_terms 216_aided_cases
"b","Medical Examiner or assistant","Aided Cases",key_terms 216_aided_cases
"c","District Attorney or assistant","Aided Cases",key_terms 216_aided_cases
"d","Members of Detective Bureau, detective squad, or Crime Scene Unit","Aided Cases",key_terms 216_aided_cases
"e","Highway District member assigned as ""collision technician"" or ""collision investigator""","Aided Cases",key_terms 216_aided_cases
"f","ESU member, if body is on train tracks or in subway tunnel","Aided Cases",key_terms 216_aided_cases
"Item","Quantity","Aided Cases",key_terms 216_aided_cases
"Operational AED device","1","Aided Cases",key_terms 216_aided_cases
"Electrode pads with wire leads (sealed packages)","2 packages (2 pads each)","Aided Cases",key_terms 216_aided_cases
"Pocket mask","1","Aided Cases",key_terms 216_aided_cases
"Gloves","1 pair","Aided Cases",key_terms 216_aided_cases
"Cloth/gauze compress","1","Aided Cases",key_terms 216_aided_cases
"Razor","1","Aided Cases",key_terms 216_aided_cases
"Priority","Role","Aided Cases",key_terms 216_aided_cases
"1st","Lieutenant platoon commander","Aided Cases",key_terms 216_aided_cases
"2nd","Patrol supervisor","Aided Cases",key_terms 216_aided_cases
"3rd","CO/XO/duty captain","Aided Cases",key_terms 216_aided_cases
"Critical Injury","Determined based upon the on-scene assessment of Emergency Medical Services (EMS) personnel","Vehicle Collisions",key_terms 217_vehicle_collisions
"City Involved","Any reported incident involving personal injury and/or property damage which may involve the City in a civil action","Vehicle Collisions",key_terms 217_vehicle_collisions
"N.Y.C.H.A. Involved","ALL accidents involving serious injury or death, or an aided case which may involve the Housing Authority in legal action","Vehicle Collisions",key_terms 217_vehicle_collisions
"Chemical Test Warrant","A Court Order directing medical personnel to draw blood from a DWI suspect in a collision causing serious physical injury or death to another individual, to determine blood alcohol/drug content","Vehicle Collisions",key_terms 217_vehicle_collisions
